Designator,Mid X,Mid Y,Rotation,Layer
C1,90.05,-54.85,270.0,top
C2,80.9,-56.15,270.0,top
C3,78.925,-64.2,0.0,top
D1,89.4175,-72.25,90.0,top
J1,75.8,-50.96,0.0,top
J2,93.3,-76.39,0.0,top
J3,69.0,-76.34,0.0,top
P1,85.85,-50.8,0.0,top
R1,73.5,-55.25,180.0,top
R2,77.85,-55.25,0.0,top
R3,83.56,-55.25,180.0,top
R4,89.45,-69.25,90.0,top
SW1,85.75,-70.6,180.0,top
U1,81.15,-98.15,180.0,top
U2,77.75,-70.55,90.0,top
